Player,Pts,POS,4S,6S,Catches,Dots,Mat,Stumpings,Wkts
Aniket Choudhary,66,"1,603",1,1,0,42,5,0,5
Anil Kumble,564,533,3,0,10,374,42,0,45
Anirudh Singh,34,420,6,1,6,0,5,0,0
Ankeet Chavan,141,"2,384",2,0,3,100,13,0,8
Ankit Bawne,3,"1,671",1,0,0,0,1,0,0
Ankit Rajpoot,260,"7,779",2,0,4,168,23,0,22
Ankit Sharma,221,"9,241",7,4,4,137,22,0,12
Ankit Soni,50,"1,616",0,1,1,37,7,0,2
Anukul Roy,8,"1,971",0,0,0,4,1,0,1
Anureet Singh,223,"6,486",2,1,5,139,23,0,18
Anustup Majumdar,25,819,7,2,0,0,4,0,0
Arindam Ghosh,5,296,1,0,1,0,2,0,0
Arjun Yadav,20,129,5,2,0,0,8,0,0
Arshdeep Singh,31,"1,941",0,0,0,20,3,0,3
Arun Karthik,46,"2,967",4,1,11,0,17,2,0
Asad Pathan,34,"1,461",5,2,2,9,8,0,0
Ashish Nehra,"1,018","7,429",3,1,17,660,75,0,87
Ashish Reddy,251,"4,499",16,15,9,76,31,0,17
Ashley Noffke,12,138,1,0,0,6,1,0,1
Ashok Dinda,884,"8,402",2,0,7,623,78,0,68
Ashok Menaria,186,"2,379",24,18,5,40,29,0,3
Ashton Turner,0,"1,985",0,0,0,0,4,0,0
Avesh Khan,92,"5,373",1,0,4,62,8,0,5
Axar Patel,"1,138","8,789",47,35,34,564,82,0,71
Azhar Bilakhia,15,753,5,0,1,0,7,0,0
Azhar Mahmood,464,"2,913",39,13,8,199,23,0,29
Balachandra Akhil,121,"1,458",5,5,4,60,15,0,6
Barinder Sran,243,"8,142",0,0,4,170,24,0,18
Basil Thampi,186,"5,306",1,1,4,114,19,0,16
Ben Cutting,242,"7,947",15,19,10,78,21,0,10
Ben Dunk,25,"1,183",7,0,3,0,3,0,0
Ben Hilfenhaus,253,"1,837",0,0,1,173,17,0,22
Ben Laughlin,81,"2,786",0,0,1,43,9,0,10
Ben Rohrer,79,950,21,5,3,1,8,0,0
Ben Stokes,537,"5,123",43,25,14,216,34,0,26
Beuran Hendricks,91,"2,474",0,0,3,52,7,0,9
Bharat Chipli,103,"2,576",28,7,3,1,23,0,0
Bhargav Bhatt,141,"2,376",0,1,1,93,17,0,12
Bhuvneshwar Kumar,"1,710","10,940",17,3,27,"1,124",117,0,133
Billy Stanlake,94,"3,399",1,0,1,64,6,0,7
Biplap Samantray,47,"1,831",13,2,3,0,9,0,0
Bipul Sharma,267,"7,227",11,9,7,131,33,0,17
Bodapati Sumanth,18,446,3,0,4,0,5,0,0
Brad Haddin,9,645,2,1,0,0,1,0,0
Brad Hodge,645,"4,115",122,43,22,75,66,0,17
Brad Hogg,252,"4,530",1,0,4,159,21,0,23
Brendon McCullum,"1,295","9,986",293,130,37,0,109,6,0
Brett Geeves,26,117,0,0,3,15,2,0,1
Brett Lee,535,"2,928",8,8,10,374,38,0,25
C Ganapathy,1,475,0,0,0,1,1,0,0
C Madan,8,463,3,0,0,0,1,0,0
C Nanda,20,275,0,0,0,13,3,0,2
Callum Ferguson,28,"1,459",9,0,2,0,9,0,0
Cameron White,383,"2,790",76,36,22,8,47,0,1
Carlos Brathwaite,215,"6,778",10,16,5,76,16,0,13
Chamara Kapugedera,10,140,0,0,4,0,5,0,0
Chaminda Vaas,207,708,2,3,0,128,13,0,18
Charl Langeveldt,118,"1,264",0,1,0,69,7,0,13
Cheteshwar Pujara,154,"4,018",50,4,6,0,30,0,0
Chris Gayle,"1,628","10,260",266,223,21,95,98,0,10
Chris Jordan,114,"4,890",0,0,4,62,11,0,12
Chris Lynn,566,"8,631",128,63,10,0,41,0,0
Chris Morris,994,"8,674",37,27,27,498,61,0,69
Chris Woakes,259,"3,288",5,2,7,134,18,0,25
ChrisGayle,741,"1,154",103,103,4,85,27,0,8
Clint McKay,18,824,0,0,0,14,2,0,1
CM Gautam,81,"3,526",17,6,3,0,13,4,0
Colin de Grandhomme,205,"5,282",18,18,6,61,25,0,6
Colin Ingram,75,"2,564",22,5,1,0,15,0,0
Colin Munro,91,"5,213",19,8,4,5,13,0,0
Corey Anderson,356,"5,766",40,31,11,81,30,0,11
D du Preez,32,262,0,0,0,18,2,0,4
D Kalyankrishna,20,128,0,0,1,10,3,0,2
D'Arcy Short,62,"1,769",11,5,2,8,7,0,1
Dale Steyn,"1,440","8,495",14,3,24,998,92,0,96
Damien Martyn,3,473,1,0,0,0,1,0,0
Dan Christian,558,"5,572",22,19,19,270,40,0,34
Daniel Harris,54,793,11,5,2,4,4,0,0
Daniel Vettori,340,"1,804",8,2,7,222,27,0,21
