Toss Decision,Match ID,Toss Winner,Team1,Team2,Winner,DL Method,Total Balls
,324,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Mumbai Indians,0.0,254.0
,326,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,0.0,246.0
,327,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,0.0,248.0
,334,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,0.0,255.0
,335,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,0.0,249.0
,344,Pune Warriors,Pune Warriors,Rajasthan Royals,Rajasthan Royals,0.0,221.0
,345,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,0.0,233.0
,346,Delhi Daredevils,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,0.0,235.0
,350,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0.0,249.0
,351,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,0.0,250.0
,352,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,0.0,239.0
,356,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,0.0,248.0
,357,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,0.0,243.0
,361,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,0.0,245.0
,365,Kings XI Punjab,Kings XI Punjab,Pune Warriors,Pune Warriors,0.0,229.0
,366,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,1.0,106.0
