Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls,Team1_Strength,Team2_Strength,Team1_Strength,Team2_Strength
81,2016,5/4/16,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Kolkata Knight Riders,7.0,,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,,247,250.91666666666666,179.07142857142858,19.551948051948052,15.867088607594937
82,2017,4/23/17,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Kolkata Knight Riders,82.0,,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,,183,410.875,377.8333333333333,53.016129032258064,40.482142857142854
83,2013,5/5/13,Rajasthan Royals,Pune Warriors India,Pune Warriors India,bat,Normal,0,Rajasthan Royals,,5.0,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker,,249,245.9375,178.125,33.347457627118644,64.77272727272727
84,2015,4/8/15,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,7.0,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,,235,494.5,487.25,30.90625,37.48076923076923
85,2014,5/24/14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,4.0,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,,214,245.64285714285714,300.3,24.920289855072465,34.91860465116279
86,2019,4/13/19,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,4.0,JC Buttler,Wankhede Stadium,Nitin Menon,A Nand Kishore,,242,653.6666666666666,449.5,150.84615384615384,112.375
87,2010,3/21/10,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Normal,0,Deccan Chargers,10.0,,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,,242,540.0,416.8333333333333,540.0,416.8333333333333
88,2017,5/10/17,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Delhi Daredevils,,2.0,SS Iyer,Green Park,YC Barde,AK Chaudhary,,243,213.75,207.14285714285714,128.25,27.884615384615383
89,2011,4/22/11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,9.0,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,,242,385.375,579.0,53.1551724137931,69.48
90,2018,5/4/18,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Normal,0,Mumbai Indians,,6.0,SA Yadav,Holkar Cricket Stadium,AY Dandekar,S Ravi,,241,253.08333333333334,306.5,20.52027027027027,19.774193548387096
91,2019,4/6/19,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Normal,0,Mumbai Indians,40.0,,AS Joseph,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,Nitin Menon,,233,218.64285714285714,280.14285714285717,56.68518518518518,38.450980392156865
92,2012,4/6/12,Mumbai Indians,Pune Warriors India,Mumbai Indians,field,Normal,0,Pune Warriors India,28.0,,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,,247,351.6,242.7,43.95,86.67857142857143
93,2013,4/12/13,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Normal,0,Sunrisers Hyderabad,,3.0,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,,243,1453.5,1883.5,145.35,627.8333333333334
94,2010,3/21/10,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,tie,0,,,,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,,259,913.25,477.8333333333333,913.25,477.8333333333333
95,2017,5/11/17,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Normal,0,Kings XI Punjab,7.0,,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore,,255,255.71428571428572,285.0,36.53061224489796,25.90909090909091
96,2011,4/23/11,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Delhi Daredevils,29.0,,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,,249,450.0,519.5,50.0,55.660714285714285
97,2015,4/25/15,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,97.0,,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin,,248,1065.25,436.5,73.46551724137932,37.41428571428571
98,2018,5/5/18,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,6.0,RA Jadeja,Maharashtra Cricket Association Stadium,Nitin Menon,YC Barde,,233,247.625,241.75,23.305882352941175,19.085526315789473
99,2019,4/7/19,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Delhi Daredevils,,4.0,K Rabada,M.Chinnaswamy Stadium,YC Barde,S Ravi,,244,251.5,302.0833333333333,30.18,41.19318181818182
100,2014,5/8/14,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Normal,0,Sunrisers Hyderabad,32.0,,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,,246,197.07142857142858,214.5,21.896825396825395,28.875
101,2012,4/6/12,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Rajasthan Royals,31.0,,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,,249,442.1666666666667,338.0,37.9,30.727272727272727
